type,customer_id,customer_name,customer_email,product_id,order_date
customer,1,John Smith,john.smith@example.com,2,2023-10-01
customer,2,Jane Doe,jane.doe@example.com,1,2023-10-02
customer,3,Bob Johnson,bob.johnson@example.com,3,2023-10-03
customer,4,Alice Brown,alice.brown@example.com,1,2023-10-04
customer,5,David Miller,david.miller@example.com,2,2023-10-05
customer,6,Emma Wilson,emma.wilson@example.com,3,2023-10-06
customer,7,James Clark,james.clark@example.com,1,2023-10-07
customer,8,Lily Turner,lily.turner@example.com,2,2023-10-08
customer,9,William Harris,william.harris@example.com,3,2023-10-09
customer,10,Sophia Martin,sophia.martin@example.com,1,2023-10-10
customer,11,Mia Johnson,mia.johnson@example.com,2,2023-10-11
customer,12,Michael Davis,michael.davis@example.com,3,2023-10-12
customer,13,Olivia White,olivia.white@example.com,1,2023-10-13
customer,14,Lucas Smith,lucas.smith@example.com,2,2023-10-14
customer,15,Grace Wilson,grace.wilson@example.com,3,2023-10-15
customer,16,Aiden Brown,aiden.brown@example.com,1,2023-10-16
customer,17,Isabella Turner,isabella.turner@example.com,2,2023-10-17
customer,18,Noah Harris,noah.harris@example.com,3,2023-10-18
customer,19,Chloe Martin,chloe.martin@example.com,1,2023-10-19
customer,20,Ethan Johnson,ethan.johnson@example.com,2,2023-10-20
